categoria,producto,color,etiqueta,precio,talles,imagen
REMERA BOXY,REMERA BOXY VARSITY,Negro,NEW IN,15990,"S,M,L,XL",img/remera-boxy-varsity-negro.jpg
REMERA BOXY,REMERA BOXY VARSITY,Dry rose,NEW IN,15990,"S,M,L,XL",img/remera-boxy-varsity-dryrose-1.jpg|img/remera-boxy-varsity-dryrose-2.jpg
REMERA BOXY,REMERA BOXY NEW RECORD,Rosa claro,NEW IN,15990,"S,M,L,XL",img/remera-boxy-newrecord-rosa-1.jpg|img/remera-boxy-newrecord-rosa-2.jpg
REMERA BOXY,REMERA BOXY NEW RECORD,Gris,NEW IN,15990,"S,M,L,XL",img/remera-boxy-new-record-gris.JPG
REMERA BOXY,REMERA BOXY HEADPHONE,Negro,NEW IN,15990,"S,M,L,XL",img/remera-boxy-headphone-negro-1.jpg|img/remera-boxy-headphone-negro-2.jpg|img/remera-boxy-headphone-negro-3.jpg
REMERA BOXY,REMERA BOXY HEADPHONE,Dry Rose,NEW IN,15990,"S,M,L,XL",img/remera-boxy-headphone-dryrose-1.jpg|img/remera-boxy-headphone-dryrose-2.jpg
REMERA BOXY,REMERA BOXY VISION,Blanco,AGOTADO,14990,"S,M,L,XL,XXL",img/remera-boxy-vision-blanco.jpg|img/remera-boxy-vision-blanco-2.jpg|img/remera-boxy-vision-blanco-3.jpg
REMERA BOXY,REMERA BOXY SCRIPT,Negro,AGOTADO,14990,"S,M,L,XL,XXL",img/remera-boxy-script-negro.jpg|img/remera-boxy-script-negro-2.jpg|img/remera-boxy-script-negro-3.jpg
REMERA BOXY,REMERA BOXY PLAYER,Negro,AGOTADO,14990,"S,M,L,XL,XXL",img/remera-boxy-player-negro.jpg|img/remera-boxy-player-negro-2%20.jpg|img/remera-boxy-player-negro-3.jpg
REMERA BOXY,REMERA BOXY PLAYER,Bordo,AGOTADO,14990,"S,M,L,XL,XXL",img/remera-boxy-player-bordo.jpg|img/remera-boxy-player-bordo-2.jpg|img/remera-boxy-player-bordo-3.jpg
REMERA BOXY,REMERA BOXY PROPERTY,Negro,AGOTADO,14990,"S,M,L,XL,XXL",img/remera-boxy-property-negro.jpg|img/remera-boxy-property-negro-2.jpg|img/remera-boxy-property-negro-3.jpg
REMERA BOXY ACROSS,REMERA RECORD,Gris,NEW IN,15990,"S,M,L,XL",img/remera-boxy-record-gris-1.jpg|img/
REMERA BOXY ACROSS,REMERA SCRIP,Gris,NEW IN,15990,"S,M,L,XL",img/remera-boxy-script-gris-1.jpg|img/
REMERA BOXY ACROSS,REMERA GOTIC,Negro,NEW IN,15990,"S,M,L,XL",img/remera-gotic-negro-1.jpg
REMERA BOXY ACROSS,REMERA GOTIC,Gris,NEW IN,15990,"S,M,L,XL",img/remera-gotic-gris-1.jpg|img/remera-gotic-gris-2.jpg
REMERA BOXY ACROSS,REMERA CONCRETE,Negro,NEW IN,15990,"S,M,L,XL",img/remera-concrete-negro-1.jpg
REMERA BOXY ACROSS,REMERA CONCRETE,Gris,NEW IN,15990,"S,M,L,XL",img/remera-concrete-gris-1.jpg|img/remera-concrete-gris-2.jpg
REMERA MANGA LARGA,REMERA DUAL GALLERY DEPT,Celeste,NEW IN,18990,"S,M,L,XL",img/remera-dual-gallery-dept-celeste-1.jpg|img/remera-dual-gallery-dept-celeste-2.jpg|img/remera-dual-gallery-dept-celeste-3.jpg
REMERA MANGA LARGA,REMERA DUAL GALLERY DEPT,Gris,NEW IN,18990,"S,M,L,XL",img/remera-dual-gallery-dept-gris-1.jpg|img/remera-dual-gallery-dept-gris-2.jpg|img/remera-dual-gallery-dept-gris-3.jpg
REMERA MANGA LARGA,REMERA DUAL 526,Celeste,NEW IN,18990,"S,M,L,XL",img/remera-dual-dept-526-celeste-1.jpg|img/remera-dual-dept-526-celeste-2.jpg|img/remera-dual-dept-526-celeste-3.jpg
REMERA MANGA LARGA,REMERA DUAL 526,Gris,NEW IN,18990,"S,M,L,XL",img/remera-dual-dept-526-gris-1.jpg
REMERA MANGA LARGA,REMERA LONGLEEVE SHIELD,Crema,NEW IN,17490,"S,M,L,XL",img/longleeve-shield-crema.jpg|img/longleeve-shield-crema-2.jpg|img/longleeve-shield-crema-3.jpg
REMERA MANGA LARGA,REMERA LONGLEEVE GLORY,Negro,NEW IN,17490,"S,M,L,XL",img/longleeve-glory-negro.jpg|img/longleeve-glory-negro-2.jpg|img/longleeve-glory-negro-3.jpg
REMERA MANGA LARGA,REMERA LONGLEEVE PROPERTY,Chocolate,,17490,"M,L",img/longleeve-property-chocolate.jpg|img/longleeve-property-chocolate-2.jpg
REMERA MANGA LARGA,REMERA LONGLEEVE PROPERTY,Negro,,17490,"M,L",img/longleeve-property-negro.jpg|img/longleeve-property-negro-2.jpg|img/longleeve-property-negro-3.jpg|img/longleeve-property-negro-4.jpg
REMERA MANGA LARGA,REMERA DUAL,Crema,AGOTADO,17490,"S,M,L,XL",img/remera-dual-crema.jpg|img/remera-dual-crema-2.jpg|img/remera-dual-crema-3.jpg|img/remera-dual-crema-4.jpg
REMERA MANGA LARGA,REMERA DUAL,Negro,AGOTADO,17490,"S,M,L,XL",img/remera-dual-negro.jpg|img/remera-dual-negro-2.jpg|img/remera-dual-negro-3.jpg
REMERA MANGA LARGA,REMERA DUAL SCRIPT,Negro,AGOTADO,15990,"S,M,L,XL",img/remera-dualscript-negro.jpg|img/remera-dualscript-negro-2.jpg|img/remera-dualscript-negro-3.jpg
REMERA MANGA LARGA,REMERA DUAL SCRIPT,Crema,AGOTADO,15990,"S,M,L,XL",img/remera-dualscript-crema.jpg|img/remera-dualscript-crema-2.jpg|img/remera-dualscript-crema-3.jpg
CREWNECK,DOUBLE FACED CREWNECK,Azul,NEW IN,29990,"S,M,L,XL",img/DOUBLE~1.PNG|img/DOUBLE~2.PNG
